;x;d;n;m
1;0;7424;1755374;0,004229298
2;1;4993,635958;1710633,055;0,002919174
3;2;3166,974658;1673892,009;0,001891983
4;3;1857,89538;1643915,636;0,001130165
5;4;980,2774013;1619468,709;0,000605308
6;5;448;1599316;0,00028012
7;6;178,8904834;1582362,669;0,000113053
8;7;106,5682738;1568075,416;6,79612E-05
9;8;168,6008226;1556061,33;0,000108351
10;9;302,5555809;1545927,495;0,000195711
11;10;446;1537281;0,000290123
12;11;549,5861087;1529936,27;0,000359222
13;12;616,3042463;1524537,085;0,000404257
14;13;662,2293295;1521934,566;0,000435123
15;14;703,4362751;1522979,831;0,000461882
16;15;756;1528524;0,000494595
17;16;831,1810817;1538671,372;0,000540194
18;17;920,982741;1550538,963;0,000593976
19;18;1012,593859;1560496,967;0,000648892
20;19;1093,203319;1564915,581;0,00069857
21;20;1150;1560165;0,000737102
22;21;1174,233564;1543850,611;0,000760588
23;22;1173,39679;1518518,569;0,000772725
24;23;1159,043233;1487950,221;0,000778953
25;24;1142,72645;1455926,916;0,000784879
26;25;1136;1426230;0,000796505
27;26;1147,340661;1401511,337;0,000818645
28;27;1172,9181;1379904,859;0,000849999
29;28;1205,82521;1358415,011;0,000887671
30;29;1239,15488;1334046,243;0,00092887
31;30;1266;1303803;0,000971006
32;31;1281,363793;1265715,776;0,001012363
33;32;1287,890809;1221919,244;0,00105399
34;33;1290,135928;1175574,125;0,001097452
35;34;1292,654031;1129841,137;0,001144102
36;35;1300;1087881;0,001194984
37;36;1316,612166;1052238,167;0,001251249
38;37;1346,462665;1022992,028;0,001316201
39;38;1393,407079;999605,7044;0,001393957
40;39;1461,300996;981542,3209;0,00148878
41;40;1554;968265;0,001604933
42;41;1673,904177;959165,4016;0,001745167
43;42;1817,59162;953349,3321;0,001906533
44;43;1980,184923;949851,1347;0,002084732
45;44;2156,806679;947705,1526;0,00227582
46;45;2342,579483;945945,7291;0,002476442
47;46;2532,625928;943607,2072;0,002683983
48;47;2722,068608;939723,9301;0,002896668
49;48;2906,030118;933330,2411;0,003113614
50;49;3079,63305;923460,4834;0,003334883
51;50;3238;909149;0,003561572
52;51;3379,992874;889715,5445;0,003798959
53;52;3519,430835;865621,5117;0,004065785
54;53;3673,872359;837613,7067;0,004386118
55;54;3860,875922;806438,9344;0,004787561
56;55;4098;772844;0,005302493
57;56;4391,571271;737409,404;0,005955404
58;57;4702,98922;700050,4284;0,006718072
59;58;4982,421534;660516,0509;0,007543226
60;59;5180,035898;618555,2489;0,008374411
61;60;5246;573917;0,009140695
62;61;5150,906041;526820,0316;0,009777354
63;62;4947,044284;479362,0706;0,010320058
64;63;4707,129506;434110,5938;0,010843157
65;64;4503,876486;393633,078;0,011441814
66;65;4410;360497;0,012233112
67;66;4476,628564;336395,2137;0,013307646
68;67;4668,545643;319522,0813;0,014611027
69;68;4928,948441;307197,342;0,016044893
70;69;5201,034159;296740,7352;0,0175272
71;70;5428;285472;0,019014124
72;71;5567,651702;271272,6016;0,020524195
73;72;5636,229142;254270,9083;0,022166237
74;73;5664,580731;235157,0141;0,024088504
75;74;5683,55488;214621,0133;0,026481819
76;75;5724;193353;0,029603885
77;76;5804,652626;171995,5159;0,03374886
78;77;5895,801787;151000,8937;0,039044814
79;78;5955,624635;130773,9135;0,045541381
80;79;5942,298322;111719,3555;0,053189515
81;80;5814;94242;0,061692239
82;81;5542,905793;78655,34264;0,070470811
83;82;5157,18771;64907,74097;0,079454124
84;83;4699,016731;52856,26797;0,088901788
85;84;4210,563834;42357,99665;0,099404225
86;85;3734;33270;0,112233243
87;86;3304,3642;25460,86548;0,129782085
88;87;2928,167372;18845,23843;0,155379694
89;88;2604,788443;13349,27864;0,195125783
90;89;2333,606343;8899,145894;0,262228125
91;90;2114;5421;0,389964951
92;91;1942,085405;2845,427421;0,682528534
93;92;1941,085405;2844,427421;0,682416922
94;93;1940,085405;2846,427421;0,681586114
95;94;1939,085405;2845,427421;0,681474211
96;95;1938,085405;2847,427421;0,680644357
97;96;1937,085405;2846,427421;0,680532161
98;97;1936,085405;2848,427421;0,67970326
99;98;1935,085405;2847,427421;0,679590774
100;99;1934,085405;2849,427421;0,678762825
101;100;1933,085405;2848,427421;0,678650048
102;101;1932,085405;2850,427421;0,677823049
103;102;1931,085405;2849,427421;0,677709982
104;103;1930,085405;2851,427421;0,676883932
105;104;1929,085405;2850,427421;0,676770575
106;105;1928,085405;2852,427421;0,675945474
107;106;1927,085405;2851,427421;0,675831828
108;107;1926,085405;2853,427421;0,675007674
109;108;1925,085405;2852,427421;0,674893738
110;109;1924,085405;2854,427421;0,67407053
111;110;1923,085405;2854,427421;0,673720197