"";"IndiceComposante2";"IndiceComposante3";"LifeEx";"VariationEx"
"3-28";3;28;74,0295296332974;0,00120315368666013
"4-29";4;29;74,0067063311729;0,0240264558111676
"5-30";5;30;73,970120309279;0,0606124777050496
"6-31";6;31;73,9111307425153;0,119602044468749
"7-32";7;32;73,9588747337736;0,0718580532104625
"8-33";8;33;74,0738530956255;-0,0431203086413916
"9-34";9;34;74,0938020900105;-0,0630693030264098
"10-35";10;35;74,0210776449063;0,00965514207780416
"11-36";11;36;73,9143685642728;0,116364222711326
"12-37";12;37;73,7446300960723;0,286102690911818
"13-38";13;38;73,5160793043943;0,514653482589779
"14-39";14;39;73,3871670410874;0,643565745896723
"15-40";15;40;73,4385986490608;0,592134137923296
"16-41";16;41;73,6610246246519;0,369708162332202
"17-42";17;42;73,8325055080166;0,198227278967465
"18-43";18;43;73,8677214896623;0,163011297321802
"19-44";19;44;73,9276464048583;0,103086382125781
"20-45";20;45;73,9620535883145;0,0686791986696136
"21-46";21;46;73,9851893304942;0,0455434564899235
"22-47";22;47;74,0100004964675;0,0207322905166052
"23-48";23;48;74,0216465682316;0,0090862187525147
"24-49";24;49;74,0285822460826;0,00215054090145372
"25-50";25;50;74,0305824777263;0,00015030925776216
"26-51";26;51;74,0307349308346;-2,1438505370952e-06
"27-52";27;52;74,0307328015505;-1,45663818784669e-08
 